ts_event,symbol,open,high,low,close,volume
2015-01-01 00:00:00+00:00,CL.c.0,53760000000.0,55110000000.0,53610000000.0,54550000000.0,4933
2015-01-01 00:00:00+00:00,GC.c.0,1184000000000.0,1184500000000.0,1184000000000.0,1184500000000.0,2
2015-01-01 00:00:00+00:00,HG.c.1,2832000000.0,2832000000.0,2832000000.0,2832000000.0,2
2015-01-01 00:00:00+00:00,NG.c.1,2850000000.0,2857000000.0,2810000000.0,2847000000.0,595
2015-01-01 00:00:00+00:00,GC.c.1,1184000000000.0,1187500000000.0,1183500000000.0,1186800000000.0,1282
2015-01-01 00:00:00+00:00,NG.c.0,2845000000.0,2852000000.0,2805000000.0,2842000000.0,1367
2015-01-01 00:00:00+00:00,CL.c.1,54200000000.0,55510000000.0,54070000000.0,54980000000.0,482
2015-01-02 00:00:00+00:00,GC.c.0,1185500000000.0,1194500000000.0,1169500000000.0,1186300000000.0,136
2015-01-02 00:00:00+00:00,NG.c.1,2850000000.0,3087000000.0,2850000000.0,2961000000.0,43763
2015-01-02 00:00:00+00:00,NG.c.0,2843000000.0,3096000000.0,2843000000.0,2958000000.0,100016
2015-01-02 00:00:00+00:00,SI.c.0,15790000000.0,15815000000.0,15535000000.0,15665000000.0,13
2015-01-02 00:00:00+00:00,ZW.c.0,589750000000.0,591000000000.0,574750000000.0,581250000000.0,38688
2015-01-02 00:00:00+00:00,CL.c.1,54980000000.0,55120000000.0,52450000000.0,53260000000.0,54373
2015-01-02 00:00:00+00:00,ZW.c.1,594500000000.0,595000000000.0,580000000000.0,586500000000.0,5964
2015-01-02 00:00:00+00:00,HG.c.0,2842000000.0,2842000000.0,2836000000.0,2837500000.0,76
2015-01-02 00:00:00+00:00,SI.c.1,15830000000.0,16045000000.000002,15575000000.0,15730000000.0,29
2015-01-02 00:00:00+00:00,CL.c.0,54570000000.0,54750000000.0,52030000000.0,52810000000.0,246903
2015-01-02 00:00:00+00:00,HG.c.1,2842000000.0,2842000000.0,2812500000.0,2825000000.0,115
2015-01-02 00:00:00+00:00,ZC.c.0,396250000000.0,398500000000.0,391500000000.0,396250000000.0,80419
2015-01-02 00:00:00+00:00,GC.c.1,1186700000000.0,1194900000000.0,1167300000000.0,1189800000000.0,110998
2015-01-02 00:00:00+00:00,ZC.c.1,405000000000.0,407000000000.0,400250000000.0,405000000000.0,16893
2015-01-04 00:00:00+00:00,SI.c.1,15675000000.0,15675000000.0,15675000000.0,15675000000.0,1
2015-01-04 00:00:00+00:00,CL.c.0,52610000000.0,52730000000.0,52150000000.0,52220000000.0,2906
2015-01-04 00:00:00+00:00,GC.c.0,1180300000000.0,1180300000000.0,1180100000000.0,1180100000000.0,5
